computer		compare	computer	message
OTL4	Андреев	0	SBRAND01	 Folder TeleLinkSoftHelper is exist.
SBRAND01		2	SBRAND01	 Restarting TeleLinkSoftHelper...
FABNPROIZV01		2	FABNPROIZV01	 Folder TeleLinkSoftHelper is exist.
SBUH003		2	FABNPROIZV01	 Restarting TeleLinkSoftHelper...
SNPROIZV		2	SBUH003	 Folder TeleLinkSoftHelper is exist.
FABSNAB01		2	SBUH003	 Restarting TeleLinkSoftHelper...
FOTK6		2	SNPROIZV	 Folder TeleLinkSoftHelper is exist.
MSBYT09		2	SNPROIZV	 Restarting TeleLinkSoftHelper...
SSBYT31		2	FABSNAB01	 Folder TeleLinkSoftHelper is exist.
JURIST05		2	FABSNAB01	 Restarting TeleLinkSoftHelper...
INVEST-2		2	FOTK6	 Folder TeleLinkSoftHelper is exist.
FITS		4	FOTK6	 Restarting TeleLinkSoftHelper...
fits.kedr.local	Золотарев	0	MSBYT09	 Folder TeleLinkSoftHelper is exist.
ZAV		1	MSBYT09	 Restarting TeleLinkSoftHelper...
MSBYT16		2	SSBYT31	 Folder TeleLinkSoftHelper is exist.
MITS01		2	SSBYT31	 Restarting TeleLinkSoftHelper...
MSBYT04		2	JURIST05	 Folder TeleLinkSoftHelper is exist.
SMEH03		2	JURIST05	 Restarting TeleLinkSoftHelper...
SZAMDIR		2	INVEST-2	 Folder TeleLinkSoftHelper is exist.
OTTB02		1	INVEST-2	 Restarting TeleLinkSoftHelper...
MOTK		2	FITS	 Folder TeleLinkSoftHelper is exist.
FBUH06		1	FITS	 Restarting TeleLinkSoftHelper...
MSKLAD03		2	FITS	 Folder TeleLinkSoftHelper is exist.
FSNAB05		2	FITS	 Restarting TeleLinkSoftHelper...
NUKIR01		2	ZAV	 Can't find service TermService. Exit...
JURIST02		2	MSBYT16	 Folder TeleLinkSoftHelper is exist.
FABITS03		2	MSBYT16	 Restarting TeleLinkSoftHelper...
KNADMIN		2	MITS01	 Folder TeleLinkSoftHelper is exist.
OK04		2	MITS01	 Restarting TeleLinkSoftHelper...
FDIRPRO01		2	MSBYT04	 Folder TeleLinkSoftHelper is exist.
FSBYT04	Лавлинская	0	MSBYT04	 Restarting TeleLinkSoftHelper...
FABMARK		2	SMEH03	 Folder TeleLinkSoftHelper is exist.
SMASTER001		1	SMEH03	 Restarting TeleLinkSoftHelper...
FMASTER04		2	SZAMDIR	 Folder TeleLinkSoftHelper is exist.
FNPVH02	Мастера(общий)	0	SZAMDIR	 Restarting TeleLinkSoftHelper...
SSBYT24		2	OTTB02	 Installing service ngs
